,InstrumentID,FromDate,Open,High,Low,Close
0,17,2020-03-02T18:12:00Z,46.99,47.0,46.98,46.98
1,17,2020-03-02T18:11:00Z,47.04,47.04,46.97,46.99
2,17,2020-03-02T18:10:00Z,47.02,47.04,46.99,47.04
3,17,2020-03-02T18:09:00Z,47.02,47.04,47.0,47.02
4,17,2020-03-02T18:08:00Z,47.0,47.03,46.96,47.02
5,17,2020-03-02T18:07:00Z,47.0,47.05,46.99,47.0
6,17,2020-03-02T18:06:00Z,46.99,47.02,46.97,47.01
7,17,2020-03-02T18:05:00Z,47.09,47.09,46.97,46.99
8,17,2020-03-02T18:04:00Z,47.04,47.1,47.04,47.09
9,17,2020-03-02T18:03:00Z,47.04,47.08,47.01,47.03
10,17,2020-03-02T18:02:00Z,47.06,47.11,47.04,47.05
11,17,2020-03-02T18:01:00Z,47.16,47.17,47.05,47.05
12,17,2020-03-02T18:00:00Z,47.12,47.18,47.07,47.17
13,17,2020-03-02T17:59:00Z,47.18,47.2,47.08,47.11
14,17,2020-03-02T17:58:00Z,47.19,47.2,47.11,47.17
15,17,2020-03-02T17:57:00Z,47.2,47.2,47.15,47.18
16,17,2020-03-02T17:56:00Z,47.19,47.2,47.16,47.18
17,17,2020-03-02T17:55:00Z,47.21,47.25,47.15,47.19
18,17,2020-03-02T17:54:00Z,47.19,47.23,47.15,47.21
19,17,2020-03-02T17:53:00Z,47.18,47.23,47.16,47.19
20,17,2020-03-02T17:52:00Z,47.1,47.18,47.1,47.18
21,17,2020-03-02T17:51:00Z,47.09,47.1,47.04,47.08
22,17,2020-03-02T17:50:00Z,47.11,47.16,47.07,47.09
23,17,2020-03-02T17:49:00Z,47.12,47.12,47.07,47.1
24,17,2020-03-02T17:48:00Z,47.15,47.17,47.09,47.12
25,17,2020-03-02T17:47:00Z,47.17,47.2,47.14,47.15
26,17,2020-03-02T17:46:00Z,47.16,47.2,47.13,47.18
27,17,2020-03-02T17:45:00Z,47.07,47.17,47.06,47.16
28,17,2020-03-02T17:44:00Z,47.05,47.08,47.02,47.06
29,17,2020-03-02T17:43:00Z,47.1,47.12,47.04,47.05
30,17,2020-03-02T17:42:00Z,47.09,47.12,47.07,47.1
31,17,2020-03-02T17:41:00Z,47.11,47.12,47.07,47.09
32,17,2020-03-02T17:40:00Z,47.14,47.17,47.1,47.14
33,17,2020-03-02T17:39:00Z,47.22,47.24,47.13,47.13
34,17,2020-03-02T17:38:00Z,47.18,47.25,47.18,47.22
35,17,2020-03-02T17:37:00Z,47.12,47.18,47.11,47.18
36,17,2020-03-02T17:36:00Z,47.15,47.17,47.11,47.14
37,17,2020-03-02T17:35:00Z,47.13,47.19,47.12,47.14
38,17,2020-03-02T17:34:00Z,47.06,47.12,47.04,47.12
39,17,2020-03-02T17:33:00Z,47.07,47.07,47.01,47.07
40,17,2020-03-02T17:32:00Z,47.04,47.08,47.02,47.07
41,17,2020-03-02T17:31:00Z,47.09,47.12,47.05,47.06
42,17,2020-03-02T17:30:00Z,47.02,47.1,46.99,47.09
43,17,2020-03-02T17:29:00Z,46.97,47.05,46.96,47.02
44,17,2020-03-02T17:28:00Z,46.98,47.02,46.96,46.98
45,17,2020-03-02T17:27:00Z,47.0,47.07,46.97,46.98
46,17,2020-03-02T17:26:00Z,47.2,47.21,47.0,47.01
47,17,2020-03-02T17:25:00Z,46.88,47.3,46.87,47.21
48,17,2020-03-02T17:24:00Z,46.86,46.89,46.84,46.89
49,17,2020-03-02T17:23:00Z,46.84,46.87,46.82,46.85
50,17,2020-03-02T17:22:00Z,46.84,46.88,46.83,46.84
51,17,2020-03-02T17:21:00Z,46.81,46.84,46.79,46.83
52,17,2020-03-02T17:20:00Z,46.82,46.85,46.8,46.8
53,17,2020-03-02T17:19:00Z,46.84,46.85,46.8,46.82
